beat_time,elapsed
1,0.061522753
1,0.059135801
1,0.058329623
1,0.056113004
0.99,0.055111833
0.99,0.062822662
0.99,0.071380808
0.99,0.056174958
0.98,0.064233265
0.98,0.059914292
0.98,0.054537798
0.98,0.072433318
0.97,0.068291067
0.97,0.07297922
0.97,0.054635353
0.97,0.059427903
0.96,0.065111838
0.96,0.057006947
0.96,0.070973707
0.96,0.062799624
0.95,0.054387025
0.95,0.056214042
0.95,0.05805763
0.95,0.060114226
0.94,0.061963272
0.94,0.050425903
0.94,0.062337224
0.94,0.050993809
0.93,0.062579236
0.93,0.06158781
0.93,0.060033709
0.93,0.058815684
0.92,0.057504086
0.92,0.065079423
0.92,0.050930089
0.92,0.059626426
0.91,0.068400195
0.91,0.063183798
0.91,0.0588174
0.91,0.054739754
0.9,0.050362751
0.9,0.054843851
0.9,0.060806873
0.9,0.066604186
0.89,0.048153687
0.89,0.063944482
0.89,0.055913456
0.89,0.071662056
0.88,0.063411406
0.88,0.066087037
0.88,0.067909607
0.88,0.070393315
0.87,0.049198125
0.87,0.061069505
0.87,0.050858408
0.87,0.062673307
0.86,0.052283312
0.86,0.050921238
0.86,0.049508888
0.86,0.072227589
0.85,0.070889964
0.85,0.056660063
0.85,0.065460743
0.85,0.050950711
0.84,0.060809932
0.84,0.056516551
0.84,0.052323387
0.84,0.070886779
0.83,0.066719333
0.83,0.049510173
0.83,0.055119817
0.83,0.060680271
0.82,0.06634153
0.82,0.059060897
0.82,0.051699622
0.82,0.067416603
0.81,0.060328477
0.81,0.0626945
0.81,0.065458304
0.81,0.068162674
0.8,0.070711613
0.8,0.059393602
0.8,0.071877226
0.8,0.061492956
0.79,0.051171069
0.79,0.049751227
0.79,0.049285578
0.79,0.0717831
0.78,0.071658174
0.78,0.057151683
0.78,0.066724433
0.78,0.052402193
0.77,0.061894987
0.77,0.057526265
0.77,0.054233136
0.77,0.049873719
0.76,0.069482307
0.76,0.05200437
0.76,0.05882694
0.76,0.065462635
0.75,0.071003712
0.75,0.063704498
0.75,0.056900368
0.75,0.049741843
0.74,0.065368927
0.74,0.068046154
0.74,0.071587879
0.74,0.051027142
0.73,0.05362144
0.73,0.067213175
0.73,0.056689274
0.73,0.069398687
0.72,0.058844877
0.72,0.058437745
0.72,0.05789724
0.72,0.057341023
0.71,0.056911373
0.71,0.067455442
0.71,0.052648764
0.71,0.063336835
0.7,0.04889607
0.7,0.069541677
0.7,0.065248669
0.7,0.061763613
0.69,0.058409988
0.69,0.064822005
0.69,0.071332466
0.69,0.055038175
